Geo_FIPS,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A00001_001,SE_A00002_001,SE_A00002_002,SE_A00002_003,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,SE_A14006_001,SE_A09005_001,SE_A09005_002,SE_A09005_009,SE_A09005_010,SE_A09005_003,SE_A09005_004,SE_A09005_005,SE_A09005_006,SE_A09005_007,SE_A09005_008,SE_A20001_001,SE_A20001_002,SE_A20001_003,SE_A20001_004,SE_A20001_005,SE_A09003_001,SE_A09001_001,SE_A09001_002,SE_A09001_003,SE_A09001_004,SE_A09001_005,SE_A09001_006,SE_A09001_007,SE_A09001_008,SE_A09001_009,SE_A09001_010
"06037101110","Census Tract 1011.10, Los Angeles County, California","ca","140","00",,,,"06","037",,,"101110",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1011.10",,,,4014,4014,9100.317,0.441083510811633,4014,2426,161,8,390,0,397,632,68972,2043,1858,1712,146,49,16,0,12,2,106,3927,176,3751,1633,2571,31,2043,1937,148,330,539,362,339,167,52,106
"06037101122","Census Tract 1011.22, Los Angeles County, California","ca","140","00",,,,"06","037",,,"101122",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1011.22",,,,4164,4164,4078.868,1.02087152527348,4164,2909,76,22,582,0,240,335,118859,2014,1583,1460,123,17,0,0,0,78,336,4161,175,3986,1417,2956,37,2014,1678,75,139,468,351,365,210,70,336
"06037101220","Census Tract 1012.20, Los Angeles County, California","ca","140","00",,,,"06","037",,,"101220",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1012.20",,,,3481,3481,12900.17,0.269841404670601,3481,1904,0,87,433,0,469,588,65139,1665,1317,1229,88,91,0,0,31,111,115,3481,303,3178,1408,2112,29,1665,1550,247,195,240,334,408,118,8,115
"06037101221","Census Tract 1012.21, Los Angeles County, California","ca","140","00",,,,"06","037",,,"101221",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1012.21",,,,3756,3756,27466.4,0.136748896133882,3756,2181,101,35,314,0,711,414,53348,1762,1561,1344,217,47,0,0,0,131,23,3703,360,3343,1630,1948,34,1762,1739,27,329,415,484,184,232,68,23
"06037101222","Census Tract 1012.22, Los Angeles County, California","ca","140","00",,,,"06","037",,,"101222",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1012.22",,,,2808,2808,24527.46,0.114483928110864,2808,1525,15,74,138,37,45,974,36779,1105,972,943,29,36,0,0,59,12,26,2808,219,2589,1516,1119,23,1105,1079,343,220,176,140,31,157,12,26
"06037101300","Census Tract 1013, Los Angeles County, California","ca","140","00",,,,"06","037",,,"101300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1013",,,,4071,4071,4086.003,0.996328168315838,4071,3218,66,0,210,0,174,403,121490,1871,1514,1235,279,29,0,0,0,27,301,4024,118,3906,1828,2699,30,1871,1570,34,497,327,282,301,97,32,301
"06037101400","Census Tract 1014, Los Angeles County, California","ca","140","00",,,,"06","037",,,"101400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1014",,,,3490,3490,1432.485,2.43632634591357,3490,2169,59,0,391,0,304,567,85945,1615,1345,1211,134,32,5,0,0,11,222,3486,289,3197,1435,2215,38,1615,1393,66,294,208,132,427,209,57,222
"06037102103","Census Tract 1021.03, Los Angeles County, California","ca","140","00",,,,"06","037",,,"102103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1021.03",,,,1834,1834,4003.44,0.458105983502626,1834,1512,23,0,242,0,12,45,65250,737,618,529,89,10,0,0,26,0,83,1834,64,1770,839,1076,28,737,654,124,71,155,153,95,51,5,83
"06037102104","Census Tract 1021.04, Los Angeles County, California","ca","140","00",,,,"06","037",,,"102104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1021.04",,,,4033,4033,6296.887,0.640475168224718,4033,2989,82,10,473,0,65,414,106250,1715,1150,1069,81,39,0,5,49,0,472,4033,254,3779,1574,2595,29,1715,1243,48,390,299,181,129,150,46,472
"06037102105","Census Tract 1021.05, Los Angeles County, California","ca","140","00",,,,"06","037",,,"102105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1021.05",,,,1610,1610,8462.278,0.190256093850628,1610,508,9,19,107,6,421,540,92917,747,656,607,49,34,0,0,9,0,48,1610,90,1520,715,941,32,747,699,14,173,88,151,160,113,0,48
"06037102107","Census Tract 1021.07, Los Angeles County, California","ca","140","00",,,,"06","037",,,"102107",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1021.07",,,,3577,3577,717.6932,4.98402386420323,3577,2571,23,0,356,0,155,472,97778,1546,1410,1251,159,0,0,0,0,0,136,3459,155,3304,1538,2191,36,1546,1410,65,222,365,290,235,196,37,136
"06037103101","Census Tract 1031.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"103101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1031.01",,,,2726,2726,3478.316,0.783712511409319,2726,1877,40,0,202,0,219,388,125694,1482,1295,1116,179,0,0,4,0,5,178,2726,248,2478,624,2092,35,1482,1304,85,134,258,369,256,141,61,178
"06037103102","Census Tract 1031.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"103102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1031.02",,,,4550,4550,9495.705,0.479163996126623,4550,3346,21,0,367,0,516,300,84750,2096,1831,1680,151,103,0,0,26,16,120,4550,192,4358,1715,2939,40,2096,1976,121,289,369,234,449,298,216,120
"06037103201","Census Tract 1032.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"103201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1032.01",,,,4291,4291,5685.339,0.754748284548037,4291,2934,95,0,306,6,85,865,84281,2004,1768,1509,259,0,42,0,11,0,183,4172,380,3792,2102,1972,38,2004,1821,34,504,253,336,243,302,149,183
"06037103202","Census Tract 1032.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"103202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1032.02",,,,2010,2010,1098.655,1.8295092486915,2010,1415,19,0,38,0,525,13,112491,850,767,740,27,16,0,0,19,0,48,2005,5,2000,720,1773,35,850,802,44,122,176,105,150,205,0,48
"06037103300","Census Tract 1033, Los Angeles County, California","ca","140","00",,,,"06","037",,,"103300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1033",,,,3816,3816,1609.161,2.37142218419545,3816,2882,105,24,184,0,34,587,133333,1595,1190,1091,99,9,0,0,0,0,396,3816,60,3756,1123,3103,41,1595,1199,3,206,207,337,98,226,122,396
"06037103401","Census Tract 1034.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"103401",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1034.01",,,,2391,2391,4418.16,0.541175480349716,2391,1593,0,15,476,0,107,200,96884,1144,865,865,0,6,0,0,0,11,262,2391,60,2331,991,1736,25,1144,882,115,124,320,188,107,22,6,262
"06037103402","Census Tract 1034.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"103402",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1034.02",,,,3829,3829,9022.772,0.424370692064983,3829,2400,371,0,457,0,195,406,113393,1956,1518,1312,206,32,0,0,0,0,406,3776,138,3638,1161,2757,35,1956,1550,57,192,268,554,255,182,42,406
"06037104103","Census Tract 1041.03, Los Angeles County, California","ca","140","00",,,,"06","037",,,"104103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1041.03",,,,4281,4281,11682.26,0.366453049203317,4281,1334,561,36,230,0,807,1313,107614,1853,1584,1429,155,13,0,0,0,23,233,4189,447,3742,1709,2369,31,1853,1620,73,402,343,349,191,238,24,233
"06037104105","Census Tract 1041.05, Los Angeles County, California","ca","140","00",,,,"06","037",,,"104105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1041.05",,,,6195,6195,27442.23,0.225746991877955,6195,2038,164,63,308,0,2512,1110,58897,2329,1976,1736,240,109,0,0,33,41,170,6193,601,5592,3293,2528,32,2329,2159,118,517,390,467,389,198,80,170
"06037104108","Census Tract 1041.08, Los Angeles County, California","ca","140","00",,,,"06","037",,,"104108",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1041.08",,,,4962,4962,11719.04,0.42341354477318,4962,1912,298,19,71,0,1364,1298,62639,2101,1848,1608,240,99,0,0,13,10,131,4962,373,4589,2629,2113,34,2101,1970,148,370,303,539,283,246,81,131
"06037104124","Census Tract 1041.24, Los Angeles County, California","ca","140","00",,,,"06","037",,,"104124",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1041.24",,,,4006,4006,2316.096,1.72963465467794,4006,1974,525,131,330,0,440,606,76071,1696,1443,1366,77,3,0,0,68,0,182,3998,395,3603,1554,2365,36,1696,1514,82,144,434,287,344,160,63,182
"06037104201","Census Tract 1042.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"104201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1042.01",,,,4636,4636,11014.79,0.420888822650916,4636,1215,527,80,172,0,1920,722,93726,2044,1798,1483,315,68,0,0,63,0,115,4636,255,4381,2393,2146,31,2044,1929,20,487,408,525,175,262,52,115
"06037104203","Census Tract 1042.03, Los Angeles County, California","ca","140","00",,,,"06","037",,,"104203",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1042.03",,,,5182,5182,18956.96,0.273356092769542,5182,1614,205,115,86,0,1987,1175,65000,2181,1972,1372,600,22,0,0,24,11,152,5182,733,4449,2683,2047,27,2181,2029,68,669,465,401,270,156,0,152
"06037104204","Census Tract 1042.04, Los Angeles County, California","ca","140","00",,,,"06","037",,,"104204",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1042.04",,,,3691,3691,3593.049,1.0272611301674,3691,1555,190,60,202,0,937,747,75179,1423,1346,1039,307,21,0,0,0,0,56,3338,276,3062,1892,1315,29,1423,1367,107,317,249,351,166,174,3,56
"06037104310","Census Tract 1043.10, Los Angeles County, California","ca","140","00",,,,"06","037",,,"104310",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1043.10",,,,4392,4392,7540.149,0.582481849336754,4392,1299,84,84,8,0,1861,1056,87463,2153,1804,1299,505,58,0,0,0,45,246,4392,645,3747,2180,1783,29,2153,1907,106,499,237,606,232,199,28,246
"06037104321","Census Tract 1043.21, Los Angeles County, California","ca","140","00",,,,"06","037",,,"104321",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1043.21",,,,2890,2890,14398.32,0.200717918384178,2890,605,50,7,0,0,1390,838,36649,1117,1007,725,282,31,0,0,7,27,45,2890,321,2569,1740,904,39,1117,1072,7,187,106,357,143,203,69,45
"06037104322","Census Tract 1043.22, Los Angeles County, California","ca","140","00",,,,"06","037",,,"104322",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1043.22",,,,1787,1787,6685.293,0.267303168972211,1787,552,5,8,16,4,773,429,72188,862,668,519,149,58,0,0,25,11,100,1787,395,1392,640,857,26,862,762,20,164,275,160,118,25,0,100
"06037104401","Census Tract 1044.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"104401",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1044.01",,,,2977,2977,11320.22,0.26298075512319,2977,906,30,13,38,5,1436,549,69306,1244,1101,988,113,48,18,0,40,11,26,2977,489,2488,1552,1145,31,1244,1218,90,280,209,318,111,172,38,26
"06037104403","Census Tract 1044.03, Los Angeles County, California","ca","140","00",,,,"06","037",,,"104403",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1044.03",,,,2352,2352,8789.21,0.267600853749129,2352,706,0,0,111,0,1143,392,89653,1191,1013,851,162,6,0,0,25,34,113,2352,349,2003,1051,1096,22,1191,1078,84,376,305,217,46,20,30,113
"06037104404","Census Tract 1044.04, Los Angeles County, California","ca","140","00",,,,"06","037",,,"104404",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1044.04",,,,3323,3323,15949.24,0.20834845566852,3323,994,0,16,83,0,1547,683,80556,1446,1266,1014,252,104,0,0,24,11,41,3320,524,2796,1673,1215,32,1446,1405,47,349,265,336,209,115,84,41
"06037104500","Census Tract 1045, Los Angeles County, California","ca","140","00",,,,"06","037",,,"104500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1045",,,,3301,3301,16100.79,0.20502102712445,3301,896,2,7,1,0,1269,1126,71058,1424,1168,842,326,137,0,0,48,6,65,3298,240,3058,1859,1321,31,1424,1359,95,340,268,273,163,161,59,65
"06037104610","Census Tract 1046.10, Los Angeles County, California","ca","140","00",,,,"06","037",,,"104610",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1046.10",,,,3122,3122,13655.5,0.228625769694686,3122,1151,0,37,0,0,1585,349,84107,1364,1140,931,209,43,22,0,41,11,107,3122,358,2764,1644,1277,26,1364,1257,87,484,255,198,101,86,46,107
"06037104620","Census Tract 1046.20, Los Angeles County, California","ca","140","00",,,,"06","037",,,"104620",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1046.20",,,,3528,3528,17202.52,0.205086278392023,3528,1256,33,31,13,0,1243,952,81316,1637,1435,1185,250,46,0,0,17,77,62,3516,338,3178,1713,1671,32,1637,1575,88,381,343,322,168,169,104,62
"06037104701","Census Tract 1047.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"104701",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1047.01",,,,3891,3891,18306.21,0.21255079174112,3891,2051,7,58,8,13,1137,617,49844,1462,1161,899,262,127,0,0,15,140,19,3891,391,3500,2776,865,28,1462,1443,138,363,362,197,234,105,44,19
"06037104703","Census Tract 1047.03, Los Angeles County, California","ca","140","00",,,,"06","037",,,"104703",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1047.03",,,,2298,2298,5094.67,0.451059618809045,2298,803,144,13,0,0,491,847,48229,925,844,760,84,0,0,0,15,38,28,2298,259,2039,1399,674,21,925,897,74,197,432,137,47,10,0,28
"06037104704","Census Tract 1047.04, Los Angeles County, California","ca","140","00",,,,"06","037",,,"104704",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1047.04",,,,4567,4567,7112.19,0.642136951985878,4567,1462,394,0,203,0,1482,1026,56512,1829,1364,1144,220,157,11,0,22,30,245,4567,476,4091,2412,1862,29,1829,1584,48,363,482,284,296,86,25,245
"06037104821","Census Tract 1048.21, Los Angeles County, California","ca","140","00",,,,"06","037",,,"104821",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1048.21",,,,3431,3431,16709.69,0.205329908864443,3431,1167,39,9,37,0,1323,856,69423,1442,1247,868,379,93,4,0,8,60,30,3431,398,3033,1893,1292,28,1442,1412,56,339,412,320,164,88,33,30
"06037104822","Census Tract 1048.22, Los Angeles County, California","ca","140","00",,,,"06","037",,,"104822",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1048.22",,,,2461,2461,10546.77,0.233341621660023,2461,805,6,17,81,0,914,638,48278,1014,833,621,212,124,0,0,25,0,32,2461,341,2120,1457,809,29,1014,982,64,252,217,199,149,72,29,32
"06037104823","Census Tract 1048.23, Los Angeles County, California","ca","140","00",,,,"06","037",,,"104823",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1048.23",,,,3362,3362,16388.1,0.205148826944372,3362,987,130,0,251,0,789,1205,81406,1243,1078,772,306,89,0,0,0,0,76,3362,349,3013,1743,1377,30,1243,1167,88,188,234,297,299,54,7,76
"06037104824","Census Tract 1048.24, Los Angeles County, California","ca","140","00",,,,"06","037",,,"104824",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1048.24",,,,2657,2657,11623.77,0.228583298455437,2657,566,0,57,0,13,1439,582,88088,1227,1161,980,181,28,0,0,0,0,38,2657,405,2252,1347,1221,35,1227,1189,33,312,127,179,441,57,40,38
"06037106010","Census Tract 1060.10, Los Angeles County, California","ca","140","00",,,,"06","037",,,"106010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1060.10",,,,3578,3578,3680.575,0.972130758906991,3578,1759,29,22,56,0,953,759,125556,1595,1381,1179,202,5,0,0,17,0,192,3578,171,3407,1401,2359,30,1595,1403,72,323,333,267,240,113,55,192
"06037106020","Census Tract 1060.20, Los Angeles County, California","ca","140","00",,,,"06","037",,,"106020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1060.20",,,,4576,4576,5894.17,0.776360353793145,4576,1939,10,37,242,0,1561,787,115282,2010,1706,1473,233,51,0,0,0,0,253,4576,790,3786,1139,3015,37,2010,1757,197,296,243,321,378,227,95,253
"06037106111","Census Tract 1061.11, Los Angeles County, California","ca","140","00",,,,"06","037",,,"106111",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1061.11",,,,4859,4859,4536.287,1.07114048404857,4859,2135,336,5,761,0,942,680,124375,2248,1998,1549,449,27,0,0,0,16,207,4859,406,4453,1614,3320,34,2248,2041,80,238,697,293,495,151,87,207
"06037106112","Census Tract 1061.12, Los Angeles County, California","ca","140","00",,,,"06","037",,,"106112",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1061.12",,,,5125,5125,4111.44,1.24652199160768,5125,2259,168,104,414,34,1144,1002,109333,2744,2320,1839,481,34,0,0,33,8,349,4993,267,4726,1764,3407,35,2744,2395,93,390,400,667,482,287,76,349
"06037106113","Census Tract 1061.13, Los Angeles County, California","ca","140","00",,,,"06","037",,,"106113",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1061.13",,,,3871,3871,6945.688,0.557324203818705,3871,1729,71,95,422,1,690,863,111861,1766,1424,1271,153,0,20,0,20,56,246,3772,260,3512,1840,2029,32,1766,1520,146,244,226,597,150,56,101,246
"06037106114","Census Tract 1061.14, Los Angeles County, California","ca","140","00",,,,"06","037",,,"106114",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1061.14",,,,6800,6800,17418.23,0.39039563117667,6800,2655,130,36,755,0,2069,1155,75179,3081,2721,2294,427,41,0,0,27,28,264,6800,533,6267,3521,3086,29,3081,2817,221,521,747,639,531,102,56,264
"06037106403","Census Tract 1064.03, Los Angeles County, California","ca","140","00",,,,"06","037",,,"106403",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1064.03",,,,3701,3701,8669.649,0.426891553165497,3701,1640,61,23,52,69,1436,420,91364,1692,1519,1213,306,34,0,0,11,4,124,3701,217,3484,1865,1817,36,1692,1568,93,369,306,276,225,161,138,124
"06037106405","Census Tract 1064.05, Los Angeles County, California","ca","140","00",,,,"06","037",,,"106405",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1064.05",,,,4340,4340,9593.089,0.452409045910637,4340,1690,431,36,272,0,909,1002,86159,1964,1826,1712,114,0,0,0,9,60,69,4340,509,3831,1932,2269,26,1964,1895,151,580,397,329,283,155,0,69
"06037106406","Census Tract 1064.06, Los Angeles County, California","ca","140","00",,,,"06","037",,,"106406",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1064.06",,,,6534,6534,8407.59,0.777154952069276,6534,3056,123,0,521,0,1641,1193,99298,3658,3256,2707,549,13,0,0,17,0,372,6534,809,5725,2443,3724,27,3658,3286,226,1067,631,685,457,131,89,372
"06037106407","Census Tract 1064.07, Los Angeles County, California","ca","140","00",,,,"06","037",,,"106407",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1064.07",,,,2352,2352,26241.74,0.0896282144936579,2352,1105,196,10,69,0,670,302,34360,905,776,587,189,51,0,0,50,7,21,2185,220,1965,1385,697,26,905,884,63,311,178,177,81,45,29,21
"06037106408","Census Tract 1064.08, Los Angeles County, California","ca","140","00",,,,"06","037",,,"106408",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1064.08",,,,3733,3733,42207.3,0.0884444252251362,3733,1353,94,137,79,8,936,1126,54259,1493,1291,1083,208,24,0,0,96,16,66,3733,477,3256,2031,1287,27,1493,1427,164,333,322,310,161,96,41,66
"06037106510","Census Tract 1065.10, Los Angeles County, California","ca","140","00",,,,"06","037",,,"106510",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1065.10",,,,5717,5717,2560.867,2.23244740902274,5717,2520,122,41,1275,0,1009,750,113750,2840,2335,1917,418,124,0,10,39,0,332,5534,580,4954,2350,2903,40,2840,2508,24,686,200,578,556,259,205,332
"06037106520","Census Tract 1065.20, Los Angeles County, California","ca","140","00",,,,"06","037",,,"106520",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1065.20",,,,5545,5545,6510.54,0.851695837972994,5545,2606,332,108,163,0,1761,575,90292,2553,2145,1699,446,0,0,0,0,8,400,5545,681,4864,2486,2692,29,2553,2153,180,375,604,403,368,223,0,400
"06037106603","Census Tract 1066.03, Los Angeles County, California","ca","140","00",,,,"06","037",,,"106603",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1066.03",,,,3544,3544,889.5438,3.98406479103378,3544,2070,83,0,570,0,206,615,135368,1686,1323,899,424,34,0,0,6,11,312,3540,98,3442,1229,2558,33,1686,1374,56,170,356,229,434,105,24,312
"06037106604","Census Tract 1066.04, Los Angeles County, California","ca","140","00",,,,"06","037",,,"106604",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1066.04",,,,4010,4010,3976.872,1.00833015442543,4010,1355,102,39,202,0,1516,796,63976,1921,1619,1374,245,132,0,0,0,20,150,4010,403,3607,1742,1963,25,1921,1771,30,767,323,292,280,79,0,150
"06037106641","Census Tract 1066.41, Los Angeles County, California","ca","140","00",,,,"06","037",,,"106641",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1066.41",,,,2197,2197,5011.219,0.438416316986797,2197,1550,51,0,349,0,22,225,114444,1089,863,763,100,6,0,0,0,12,208,2197,218,1979,583,1585,34,1089,881,13,137,227,218,130,120,36,208
"06037106642","Census Tract 1066.42, Los Angeles County, California","ca","140","00",,,,"06","037",,,"106642",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1066.42",,,,3442,3442,5650.845,0.609112474652392,3442,2450,82,54,242,0,214,400,137426,1639,1113,992,121,32,0,0,20,0,474,3422,89,3333,903,2690,33,1639,1165,38,126,421,127,322,108,23,474
"06037106643","Census Tract 1066.43, Los Angeles County, California","ca","140","00",,,,"06","037",,,"106643",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1066.43",,,,4306,4306,2570.325,1.67527455725664,4306,2566,273,0,885,0,482,100,197411,2000,1613,1325,288,85,0,0,12,0,290,4306,7,4299,1040,3640,40,2000,1710,82,293,170,542,158,334,131,290
"06037106645","Census Tract 1066.45, Los Angeles County, California","ca","140","00",,,,"06","037",,,"106645",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1066.45",,,,3769,3769,3861.522,0.976040043428773,3769,2785,9,147,382,0,212,234,128382,1590,1169,1117,52,9,0,0,0,0,412,3769,174,3595,1175,2790,38,1590,1178,29,133,333,233,164,232,54,412
"06037106646","Census Tract 1066.46, Los Angeles County, California","ca","140","00",,,,"06","037",,,"106646",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1066.46",,,,3011,3011,5282.743,0.569969050049653,3011,1527,146,12,582,0,394,350,120865,1283,1009,864,145,33,0,0,28,0,213,2917,89,2828,1103,2027,32,1283,1070,55,65,428,241,148,104,29,213
"06037106648","Census Tract 1066.48, Los Angeles County, California","ca","140","00",,,,"06","037",,,"106648",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1066.48",,,,4581,4581,14963.12,0.306152769819783,4581,2347,0,128,0,0,1073,1033,68583,2042,1820,1607,213,68,0,0,52,0,102,4581,463,4118,2323,1959,31,2042,1940,184,491,401,414,161,133,156,102
"06037106649","Census Tract 1066.49, Los Angeles County, California","ca","140","00",,,,"06","037",,,"106649",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1066.49",,,,2776,2776,6461.731,0.429606237557857,2776,672,28,10,541,0,1137,388,101528,1191,1088,1008,80,18,0,0,5,12,68,2776,259,2517,1158,1625,30,1191,1123,48,277,270,250,132,124,22,68
"06037107010","Census Tract 1070.10, Los Angeles County, California","ca","140","00",,,,"06","037",,,"107010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1070.10",,,,3177,3177,12018.02,0.264352962253107,3177,1299,28,129,97,0,956,668,82109,1566,1387,1136,251,30,0,0,0,7,142,3117,314,2803,1393,1575,27,1566,1424,156,392,130,443,192,90,21,142
"06037107020","Census Tract 1070.20, Los Angeles County, California","ca","140","00",,,,"06","037",,,"107020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1070.20",,,,4610,4610,12012.35,0.383771662262528,4610,1756,46,133,190,131,1116,1238,81625,1838,1734,1620,114,33,0,10,0,0,61,4610,355,4255,2055,2448,29,1838,1777,100,479,360,333,337,161,7,61
"06037108101","Census Tract 1081.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"108101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1081.01",,,,2274,2274,5218.377,0.43576765606636,2274,1314,32,59,501,0,68,300,150000,1003,818,747,71,2,0,0,17,23,143,2274,75,2199,728,1742,31,1003,860,64,223,82,227,164,64,36,143
"06037108102","Census Tract 1081.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"108102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1081.02",,,,3596,3596,4264.825,0.843176493481823,3596,1829,57,0,1353,0,222,135,125540,1601,1171,1044,127,0,0,0,28,48,354,3592,118,3474,1198,2680,33,1601,1247,100,215,161,304,328,72,67,354
"06037108103","Census Tract 1081.03, Los Angeles County, California","ca","140","00",,,,"06","037",,,"108103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1081.03",,,,2968,2968,2996.995,0.990325437801256,2968,1757,59,0,757,0,45,350,149118,1532,1056,938,118,8,0,0,0,0,468,2968,28,2940,974,2353,34,1532,1064,25,220,238,198,157,197,29,468
"06037108104","Census Tract 1081.04, Los Angeles County, California","ca","140","00",,,,"06","037",,,"108104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1081.04",,,,1738,1738,5449.504,0.318928118585878,1738,923,81,0,374,0,213,147,150550,612,472,412,60,0,0,0,0,0,140,1721,178,1543,462,1310,39,612,472,5,68,57,144,75,99,24,140
