Geo_FIPS,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A00001_001,SE_A00002_001,SE_A00002_002,SE_A00002_003,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,SE_A14006_001,SE_A09005_001,SE_A09005_002,SE_A09005_009,SE_A09005_010,SE_A09005_003,SE_A09005_004,SE_A09005_005,SE_A09005_006,SE_A09005_007,SE_A09005_008,SE_A20001_001,SE_A20001_002,SE_A20001_003,SE_A20001_004,SE_A20001_005,SE_A09003_001,SE_A09001_001,SE_A09001_002,SE_A09001_003,SE_A09001_004,SE_A09001_005,SE_A09001_006,SE_A09001_007,SE_A09001_008,SE_A09001_009,SE_A09001_010
"06037670413","Census Tract 6704.13, Los Angeles County, California","ca","140","00",,,,"06","037",,,"670413",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 6704.13",,,,4852,4852,5745.193,0.844532098218216,4852,2218,35,0,2149,0,93,357,182212,1991,1537,1364,173,13,0,0,22,0,419,4838,104,4734,1072,4165,36,1991,1572,166,154,439,267,252,148,146,419
"06037670416","Census Tract 6704.16, Los Angeles County, California","ca","140","00",,,,"06","037",,,"670416",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 6704.16",,,,4224,4224,3067.485,1.37702375455021,4224,1899,102,18,1252,1,235,717,155135,1613,1177,1072,105,0,0,0,0,14,422,4221,146,4075,1305,3375,35,1613,1191,47,137,217,302,338,131,19,422
"06037670417","Census Tract 6704.17, Los Angeles County, California","ca","140","00",,,,"06","037",,,"670417",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 6704.17",,,,2795,2795,3580.52,0.780612883148493,2795,1287,63,0,1118,5,38,284,155385,1156,873,770,103,30,0,0,0,0,253,2795,87,2708,911,2226,35,1156,903,50,168,174,126,226,154,5,253
"06037670418","Census Tract 6704.18, Los Angeles County, California","ca","140","00",,,,"06","037",,,"670418",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 6704.18",,,,4557,4557,4670.111,0.975779810562829,4557,2432,54,23,1065,0,84,899,213375,1891,1286,1247,39,19,0,0,8,21,557,4557,194,4363,1085,3965,33,1891,1334,67,334,170,335,242,108,78,557
"06037670500","Census Tract 6705, Los Angeles County, California","ca","140","00",,,,"06","037",,,"670500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 6705",,,,1451,1451,485.2324,2.99031964626863,1451,880,144,3,264,0,7,153,250001,514,397,377,20,0,0,0,5,5,107,1451,25,1426,505,1210,30,514,407,5,94,118,80,77,27,6,107
"06037670603","Census Tract 6706.03, Los Angeles County, California","ca","140","00",,,,"06","037",,,"670603",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 6706.03",,,,1897,1897,1259.984,1.50557454320252,1897,813,7,0,966,0,31,80,216801,935,613,536,77,35,0,0,57,26,204,1897,19,1878,740,1477,30,935,731,73,160,153,121,144,55,25,204
"06037670604","Census Tract 6706.04, Los Angeles County, California","ca","140","00",,,,"06","037",,,"670604",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 6706.04",,,,4911,4911,1229.505,3.99429032103624,4911,3152,23,0,924,0,252,560,149205,2379,1782,1571,211,54,54,0,15,0,474,4911,64,4847,1838,4081,37,2379,1905,96,175,489,301,490,268,86,474
"06037670701","Census Tract 6707.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"670701",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 6707.01",,,,6538,6538,5873.101,1.11321094923992,6538,3285,9,56,1579,0,770,839,168697,3090,2572,2353,219,0,0,10,0,0,508,6512,146,6366,1834,5164,29,3090,2582,201,618,649,534,187,318,75,508
"06037670702","Census Tract 6707.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"670702",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 6707.02",,,,5722,5722,2212.518,2.58619344954494,5722,4179,14,14,995,26,193,301,208177,2648,1995,1900,95,0,0,32,67,17,537,5722,161,5561,1715,5035,27,2648,2111,219,524,330,596,273,106,63,537
"06037700101","Census Tract 7001.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"700101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 7001.01",,,,5329,5329,20475.29,0.260264912424305,5329,4073,262,0,206,40,99,649,66901,3529,2453,2362,91,264,0,70,106,18,618,5329,389,4940,1481,3876,26,3529,2911,184,932,608,763,236,116,72,618
